id_execucao;id_cenario;n_holders;distribuicao;parametro_dist;n_candidatos;tamanho_comite;turnout;n_aprovacoes;n_blocos;frac_proxy;tam_cartel;orcamento_suborno;frac_exchange;frac_colludida;n_rodadas;vantagem_incumbencia;reinveste_recompensa;metrica;camada;n_runs;seed_base;media;ic95
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;4.86666667;0.20445371
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;4.93333333;0.18637679
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.01329128;0.05218701
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;-0.30155937;0.01675136
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;-0.30132000;0.01715880
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.32004206;0.05218701
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.63489270;0.01675136
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.63465333;0.01715880
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.05742751;0.00104620
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.05750398;0.00107214
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;5.86666667;0.20445371
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;5.83333333;0.21187794
20260709_122851;9;200;pareto;1.5;93;31;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.33333333;0.00000000
